"סוג: ממוצע, זמן מיצוע: 24 שעות, שנתי: 01/01/2016-01/01/2017",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
תאריך ושעה,"ירושלים, רחוב בר אילן",,"באר שבע, שכונה ו",,"חולון, חולון",,"תל אביב-יפו, רחוב יהודה המכבי",,"גדרה, גדרה",,"שדרות, שדרות",,"חיפה, אחוזה",
,NO2,PM2.5,NO2,PM2.5,NO2,PM2.5,NO2,PM2.5,NO2,PM2.5,NO2,PM2.5,NO2,PM2.5
,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
24:00 07/06/2016,81,Down,22.2,20.9,49.2,12.4,63.4,13.3,25.7,10.5,16.7,14.5,19.4,8
24:00 08/06/2016,75.7,Down,13.1,18.7,33.1,14.4,44.3,12.9,24,14.4,12.9,18.3,22.4,12.1
24:00 09/06/2016,50.3,Down,5.8,9.3,12.8,13.6,32.2,9.8,19.4,12.6,9.1,12.1,12.8,11.8
24:00 10/06/2016,41.2,Down,5.6,9.2,7.7,9.3,20.5,8.2,28.2,9.7,4.5,11.1,8.3,9.5
24:00 11/06/2016,11.9,Down,5,7.8,4.2,8,9.4,6.7,29.2,7.1,4.3,8.1,5.2,8.1
24:00 12/06/2016,30.3,Down,10.1,8.6,12,9.4,14.7,8.5,32.8,8.9,4.3,8.1,9.5,9.1
24:00 13/06/2016,96.6,Down,20.1,17.6,36.5,19.5,44.5,16.1,InVld,15.5,23,16.6,41.8,18.3
24:00 14/06/2016,100.9,Down,19.3,23.1,24,15.4,34.5,11.9,InVld,17.8,13,17.4,32.9,12.7
24:00 15/06/2016,66.1,Down,15,18.7,24.9,16.9,40.6,17.4,InVld,17.9,10.5,18.9,20.8,13.7
24:00 16/06/2016,50.8,Down,7.2,12.9,9.3,10.6,23.3,10.3,InVld,10.9,8.5,12.8,11.7,11.3
24:00 17/06/2016,48.9,Down,11.3,15.2,8.2,13.9,17.8,12,InVld,&lt;Samp,9.6,14.2,11.6,11.6
24:00 18/06/2016,28,Down,7.9,15.9,7.3,12.7,12.5,10.1,InVld,12.4,6.2,11.9,11.7,8.8
24:00 19/06/2016,90.3,Down,11.2,15.4,19.6,10.8,30.1,9.4,InVld,14,17,13.1,21.9,11.1
24:00 20/06/2016,91.9,Down,13.5,11.6,17.1,13.9,37.2,11.9,&lt;Samp,15.3,13.2,14.2,18.6,&lt;Samp
